pdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,entity_weight,number_of_polymers,number_of_polymer_residues,number_of_polymer_entities,number_of_bound_entities,number_of_protein_chains,max_observed_residues,molecule_name,all_molecule_name,modified_residue_flag,molecule_type,mutation_type,molecule_synonym,gene_name,entity_id
1y2y,Solution NMR,y,Structural Characterization of Nop10p using Nuclear Magnetic Resonance Spectroscopy,"Khanna M,Wu H,Johansson C,Caizergues-Ferrer M,Feigon J",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF04135,Nop10p,,"Nucleolar RNA-binding protein\, Nop10p family","IPR036756,IPR007264","H/ACA ribonucleoprotein complex\, subunit Nop10 superfamily,H/ACA ribonucleoprotein complex\, subunit Nop10",,,,,,,,,,"GO:0001522,GO:0006364,GO:0031120,GO:0042254,GO:0031118,GO:0000469,GO:0034513,GO:0003723,GO:0070034,GO:0030515,GO:0005634,GO:0005730,GO:0090661,GO:0005732,GO:0031429","pseudouridine synthesis,rRNA processing,snRNA pseudouridine synthesis,ribosome biogenesis,rRNA pseudouridine synthesis,cleavage involved in rRNA processing","box H/ACA snoRNA binding,RNA binding,telomerase RNA binding,snoRNA binding","nucleus,nucleolus,box H/ACA telomerase RNP complex,small nucleolar ribonucleoprotein complex,box H/ACA snoRNP complex",Small proteins,Rubredoxin-like,Nop10-like SnoRNP,Nucleolar RNA-binding protein Nop10-like,Q6Q547,NOP10_YEAST,1.0,,,6649.745,1,116,1,0,1,58,H/ACA ribonucleoprotein complex subunit NOP10,,N,Protein,,"snoRNP protein NOP10,H/ACA ribonucleoprotein complex subunit NOP10,Nucleolar protein 10,Nucleolar protein family A member 3","YHR072W-A,NOP10",1
2fe9,Solution NMR,y,Solution structure of the Vts1 SAM domain in the presence of RNA,"Edwards TA,Butterwick JA,Palmer AG,Aggarwal AK",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF07647,SAM_2,SAM,SAM domain (Sterile alpha motif),"IPR037635,IPR001660,IPR013761","VTS1\, SAM domain,Sterile alpha motif domain,Sterile alpha motif/pointed domain superfamily",1.10.150.50,Mainly Alpha,Orthogonal Bundle,DNA polymerase; domain 1,"Transcription Factor\, Ets-1",,,,,"GO:0043488,GO:0003729",regulation of mRNA stability,mRNA binding,,,,,,Q08831,VTS1_YEAST,0.16,6922,,9879.55,1,86,1,0,1,86,Protein VTS1,,N,Protein,,"Protein VTS1,VTI1-2 suppressor protein 1","YOR359W,VTS1",1
2jvr,Solution NMR,y,Segmental Isotope Labeling of Npl3p,"Skrisovska L,Allain FH-T",Engineered,,,,,,,,,,,,,,,,,,,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR000504,IPR036249,IPR012677,IPR035979","RNA recognition motif domain,Thioredoxin-like superfamily,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,GO:0003676,,nucleic acid binding,,,,,,Q01560,NOP3_YEAST,0.22,15487,,12598.05,1,111,1,0,1,80,Nucleolar protein 3,,N,Protein,Expression tag,"Nuclear polyadenylated RNA-binding protein 1,Mitochondrial targeting suppressor 1 protein,Nucleolar protein 3","NPL3,MTR13,NOP3,MTS1,NAB1,YDR432W,D9461.19",1
2kkm,Solution NMR,y,Solution NMR structure of yeast protein YOR252W [residues 38-178]: Northeast Structural Genomics Consortium target YT654,"Cort JR,Yee A,Liu C,Arrowsmith CH,Montelione GT,Kennedy MA,Northeast Structural Genomics Consortium (NESG)",Engineered,,,,,,,,P 1,,,,,,,NESG,Northeast Structural Genomics Consortium,,,,,,,"IPR021346,IPR038356","Translation machinery-associated protein 16,Tma16 superfamily","1.20.1440.170,1.20.1440.170","Mainly Alpha,Mainly Alpha","Up-down Bundle,Up-down Bundle","de novo design (two linked rop proteins),de novo design (two linked rop proteins)","Translation machinery-associated protein 16-like,de novo design (two linked rop proteins)",,,,,,,,,,,,,Q08687,TMA16_YEAST,0.79,16365,,16963.271,1,144,1,0,1,141,Translation machinery-associated protein 16,,N,Protein,Expression tag,Translation machinery-associated protein 16,"YOR252W,TMA16",1
2rnw,Solution NMR,y,The Structural Basis for Site-Specific Lysine-Acetylated Histone Recognition by the Bromodomains of the Human Transcriptional Co-Activators PCAf and CBP,"Zeng L,Zhang Q,Gerona-Navarro G,Zhou MM",Engineered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P61830,H3_YEAST,0.11,,,1606.826,2,266,2,0,2,15,Histone H3,,Y,Protein,,Histone H3,"HHT2,YBR0201,YNL031C,SIN2,YBR010W,HHT1,N2749",2
1ynx,Solution NMR,y,Solution structure of DNA binding domain A (DBD-A) of S.cerevisiae Replication Protein A (RPA),"Park CJ,Lee JH,Choi BS",Engineered,,,,,,,,,,,,,,,,,,,PF01336,tRNA_anti-codon,OB,OB-fold nucleic acid binding domain,"IPR004365,IPR012340","OB-fold nucleic acid binding domain\, AA-tRNA synthetase-type,Nucleic acid-binding\, OB-fold",2.40.50.140,Mainly Beta,Beta Barrel,"OB fold (Dihydrolipoamide Acetyltransferase\, E2P)",Nucleic acid-binding proteins,,,,,GO:0003676,,nucleic acid binding,,,,,,P22336,RFA1_YEAST,0.18,,,13265.821,1,228,1,0,1,114,Replication factor A protein 1,,N,Protein,,"Single-stranded DNA-binding protein,Replication factor A protein 1,RF-A protein 1,DNA-binding protein BUF2,Replication protein A 69 kDa DNA-binding subunit","FUN3,RFA1,BUF2,YAR007C,RPA1",1
1k3j,Solution NMR,y,Refined NMR Structure of the FHA1 Domain of Yeast Rad53,"Yuan C,Yongkiettrakul S,Byeon I-JL,Zhou S,Tsai M-D",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF00498,FHA,SMAD-FHA,FHA domain,"IPR000253,IPR008984","Forkhead-associated (FHA) domain,SMAD/FHA domain superfamily",2.60.200.20,Mainly Beta,Sandwich,Tumour Suppressor Smad4,Tumour Suppressor Smad4,2.7.12.1,Dual-specificity kinase,ATP:protein phosphotransferase (Ser/Thr- and Tyr-phosphorylating),"Transferases,Transferring phosphorus-containing groups,Dual-specificity kinases (those acting on Ser/Thr and Tyr residues),Dual-specificity kinase",,,,,All beta proteins,SMAD/FHA domain,SMAD/FHA domain,FHA domain,P22216,RAD53_YEAST,0.18,,,17093.49,1,302,1,0,1,151,Serine/threonine-protein kinase RAD53,,N,Protein,,"Serine/threonine-protein kinase RAD53,Serine-protein kinase 1,CHEK2 homolog","RAD53,SAD1,YPL153C,MEC2,P2588,SPK1",1
1ncs,Solution NMR,y,NMR STUDY OF SWI5 ZINC FINGER DOMAIN 1,"Dutnall RN,Neuhaus D,Rhodes D",Engineered,,,,,,,X-PLOR,P 1,,,X-PLOR,,,,,,,,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,Small proteins,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,"Classic zinc finger\, C2H2",P08153,SWI5_YEAST,0.07,,,5669.563,1,143,1,1,1,47,Transcriptional factor SWI5,,N,Protein,,Transcriptional factor SWI5,"YDR146C,SWI5,YD8358.03C",1
1n87,Solution NMR,y,Solution structure of the U-box of Prp19,"Chazin WJ,Ohi MD,Vander Kooi CW",Engineered,,,,,Single wavelength,,,P 1,,,,,,,,,,,,,,,"IPR013083,IPR003613,IPR038959","Zinc finger\, RING/FYVE/PHD-type,U box domain,Pre-mRNA-processing factor 19",3.30.40.10,Alpha Beta,2-Layer Sandwich,Herpes Virus-1,"Zinc/RING finger domain\, C3HC4 (zinc finger)",2.3.2.27,RING-type E3 ubiquitin transferase,[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine:[acceptor protein]-L-lysine ubiquitin transferase (isopeptide bond-forming; RING-type),"Transferases,Acyltransferases,Aminoacyltransferases,RING-type E3 ubiquitin transferase","GO:0006281,GO:0000398,GO:0016567,GO:0004842,GO:0061630,GO:0000974","DNA repair,mRNA splicing\, via spliceosome,protein ubiquitination","ubiquitin-protein transferase activity,ubiquitin protein ligase activity",Prp19 complex,Small proteins,RING/U-box,RING/U-box,U-box,P32523,PRP19_YEAST,0.11,,,6246.232,1,112,1,0,1,56,Pre-mRNA-processing factor 19,,N,Protein,,"RING-type E3 ubiquitin transferase PRP19,Pre-mRNA-processing factor 19","PSO4,YLL036C,PRP19",1
1k2n,Solution NMR,y,Solution Structure of the FHA2 domain of Rad53 Complexed with a Phosphothreonyl Peptide Derived from Rad9,"Byeon I-JL,Yongkiettrakul S,Tsai M-D",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF00498,FHA,SMAD-FHA,FHA domain,"IPR000253,IPR008984","Forkhead-associated (FHA) domain,SMAD/FHA domain superfamily",2.60.200.20,Mainly Beta,Sandwich,Tumour Suppressor Smad4,Tumour Suppressor Smad4,2.7.12.1,Dual-specificity kinase,ATP:protein phosphotransferase (Ser/Thr- and Tyr-phosphorylating),"Transferases,Transferring phosphorus-containing groups,Dual-specificity kinases (those acting on Ser/Thr and Tyr residues),Dual-specificity kinase",,,,,All beta proteins,SMAD/FHA domain,SMAD/FHA domain,FHA domain,P22216,RAD53_YEAST,0.19,,,18148.758,2,334,2,0,2,158,Serine/threonine-protein kinase RAD53,,N,Protein,,"Serine/threonine-protein kinase RAD53,Serine-protein kinase 1,CHEK2 homolog","RAD53,SAD1,YPL153C,MEC2,P2588,SPK1",1
1ajy,Solution NMR,y,"STRUCTURE AND MOBILITY OF THE PUT3 DIMER: A DNA PINCER, NMR, 13 STRUCTURES","Walters KJ,Dayie KT,Reece RJ,Ptashne M,Wagner G",Natural,,,,,,,X-PLOR,P 1,,,X-PLOR,,,,,,,,PF00172,Zn_clus,,Fungal Zn(2)-Cys(6) binuclear cluster domain,"IPR001138,IPR036864","Zn(2)-C6 fungal-type DNA-binding domain,Zn(2)-C6 fungal-type DNA-binding domain superfamily","1.20.5.460,4.10.240.10","Mainly Alpha,Few Secondary Structures","Up-down Bundle,Irregular","Single alpha-helices involved in coiled-coils or other helix-helix interfaces,CD2-Gal4","Single helix bin,Zn(2)-C6 fungal-type DNA-binding domain",,,,,"GO:0006355,GO:0000981,GO:0008270,GO:0005634","regulation of transcription\, DNA-templated","DNA-binding transcription factor activity\, RNA polymerase II-specific,zinc ion binding",nucleus,"Coiled coil proteins,Small proteins","Parallel coiled-coil,Zn2/Cys6 DNA-binding domain","Leucine zipper domain,Zn2/Cys6 DNA-binding domain","Leucine zipper domain,Zn2/Cys6 DNA-binding domain",P25502,PUT3_YEAST,0.07,,,8094.525,2,288,1,1,2,71,Proline utilization trans-activator,,N,Protein,,Proline utilization trans-activator,"YKL015W,PUT3",1
2jql,Solution NMR,y,NMR structure of the yeast Dun1 FHA domain in complex with a doubly phosphorylated (pT) peptide derived from Rad53 SCD1,"Yuan C,Lee H,Chang C,Heierhorst J,Tsai M",Engineered,,,,,,,,,,,,,,,,,,,PF00498,FHA,SMAD-FHA,FHA domain,"IPR000253,IPR008984","Forkhead-associated (FHA) domain,SMAD/FHA domain superfamily",2.60.200.20,Mainly Beta,Sandwich,Tumour Suppressor Smad4,Tumour Suppressor Smad4,2.7.11.1,Non-specific serine/threonine protein kinase,ATP:protein phosphotransferase (non-specific),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Non-specific serine/threonine protein kinase",,,,,,,,,P39009,DUN1_YEAST,0.27,,,17394.494,2,322,2,0,2,141,DNA damage response protein kinase DUN1,,N,Protein,Expression tag,DNA damage response protein kinase DUN1,"DUN1,D2370,YDL101C",1
2hv4,Solution NMR,y,NMR solution structure refinement of yeast iso-1-ferrocytochrome c,"Assfalg M,Bertini I,Del Conte R,Turano P",Engineered,,,,,Single wavelength,,,,,,,,,,,,,,PF00034,Cytochrom_C,Cytochrome-c,Cytochrome c,"IPR036909,IPR002327,IPR009056","Cytochrome c-like domain superfamily,Cytochrome c\, class IA/ IB,Cytochrome c-like domain",1.10.760.10,Mainly Alpha,Orthogonal Bundle,"Cytochrome Bc1 Complex; Chain D\, domain 2",Cytochrome c-like domain,,,,,"GO:0006123,GO:0055114,GO:0006122,GO:0005515,GO:0046872,GO:0009055,GO:0020037,GO:0005758,GO:0070469,GO:0005739","mitochondrial electron transport\, cytochrome c to oxygen,oxidation-reduction process,mitochondrial electron transport\, ubiquinol to cytochrome c","protein binding,metal ion binding,electron transfer activity,heme binding","mitochondrial intermembrane space,respirasome,mitochondrion",All alpha proteins,Cytochrome c,Cytochrome c,monodomain cytochrome c,P00044,CYC1_YEAST,0.99,,,12071.796,1,326,1,1,1,108,Cytochrome c isoform 1,,N,Protein,Engineered mutation,"Cytochrome c isoform 1,Cytochrome c aerobic isoform,Iso-1-cytochrome c","J1653,CYC1,YJR048W",1
1fvq,Solution NMR,,SOLUTION STRUCTURE OF THE YEAST COPPER TRANSPORTER DOMAIN CCC2A IN THE APO AND CU(I) LOADED STATES,"Banci L,Bertini I,Ciofi Baffoni S,Huffman DL,O'Halloran TV",Engineered,,,,,,,,P 1,,,,,,,,,,,PF00403,HMA,,Heavy-metal-associated domain,"IPR036163,IPR006121","Heavy metal-associated domain superfamily,Heavy metal-associated domain\, HMA",3.30.70.100,Alpha Beta,2-Layer Sandwich,Alpha-Beta Plaits,Alpha-Beta Plaits,7.2.2.8,P-type Cu(+) transporter,"ATP phosphohydrolase (P-type\, Cu(+)-exporting)","Translocases,Catalyzing the translocation of inorganic cations,Linked to the hydrolysis of a nucleoside triphosphate,P-type Cu(+) transporter","GO:0030001,GO:0046872",metal ion transport,metal ion binding,,Alpha and beta proteins (a+b),Ferredoxin-like,"HMA\, heavy metal-associated domain","HMA\, heavy metal-associated domain",P38995,ATU2_YEAST,0.07,,,7889.924,1,144,1,0,1,72,Copper-transporting ATPase,,N,Protein,Expression tag,"Copper-transporting ATPase,Cu(2+)-ATPase","YDR270W,CCC2,D9954.6",1
2k0n,Solution NMR,y,Solution Structure of Yeast Gal11p kix domain,"Arthanari H,Frueh DP,Wagner GK,Naar AM",Engineered,,,,,,,,,,,,,,,,,,,PF16987,KIX_2,KIX_like,KIX domain,"IPR036529,IPR036546","Coactivator CBP\, KIX domain superfamily,Mediator complex subunit 15\, KIX domain",1.10.246.20,Mainly Alpha,Orthogonal Bundle,"Serum Albumin; Chain A\, Domain 1","Coactivator CBP\, KIX domain",,,,,"GO:0006355,GO:0003712","regulation of transcription\, DNA-templated",transcription coregulator activity,,,,,,P19659,MED15_YEAST,0.08,,,9408.607,1,170,1,0,1,85,Mediator of RNA polymerase II transcription subunit 15,,N,Protein,,"Basal expression activator protein 1,Mediator complex subunit 15,Defective silencing suppressor protein 4,Ty insertion suppressor protein 13,Autonomous replication regulatory protein 3,Mediator of RNA polymerase II transcription subunit 15,Transcription regulatory protein GAL11","RAR3,SPT13,MED15,GAL11,YOL051W,ABE1,SDS4",1
2jvo,Solution NMR,y,Segmental isotope labeling of Npl3,"Skrisovska L,Allain FH-T",Engineered,,,,,,,,,,,,,,,,,,,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR034166,IPR000504,IPR012677,IPR035979","Npl3\, RNA recognition motif 1,RNA recognition motif domain,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily","3.30.70.330,3.30.70.330","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Alpha-Beta Plaits,Alpha-Beta Plaits","Alpha-Beta Plaits,RRM (RNA recognition motif) domain",,,,,GO:0003676,,nucleic acid binding,,,,,,Q01560,NOP3_YEAST,0.21,15485,,12292.843,1,108,1,0,1,77,Nucleolar protein 3,,N,Protein,Expression tag,"Nuclear polyadenylated RNA-binding protein 1,Mitochondrial targeting suppressor 1 protein,Nucleolar protein 3","NPL3,MTR13,NOP3,MTS1,NAB1,YDR432W,D9461.19",1
4cyk,Solution NMR,y,Structural basis for binding of Pan3 to Pan2 and its function in mRNA recruitment and deadenylation,"Wolf J,Valkov E,Allen MD,Meineke B,Gordiyenko Y,McLaughlin SH,Olsen TM,Robinson CV,Bycroft M,Stewart M,Passmore LA",Engineered,,,,,,,,P 1,,,,,,,,,,,,,,,,,6.10.250.3160,,,,,,,,,GO:0046872,,metal ion binding,,,,,,P36102,PAN3_YEAST,0.06,19959,,4741.405,1,83,1,1,1,41,PAN2-PAN3 deadenylation complex subunit PAN3,,N,Protein,,"PAN2-PAN3 deadenylation complex subunit PAN3,Poly(A)-nuclease deadenylation complex subunit 3,PAN deadenylation complex subunit 3,PAB1P-dependent poly(A)-specific ribonuclease","YKL025C,PAN3,ECM35",1
