pdb_id,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,model_quality,data_quality,r_factor,resolution,r_free,entity_id
4crp,,,,,"IPR013098,IPR013783,IPR036179","Immunoglobulin I-set,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,2.7.10.1,Receptor protein-tyrosine kinase,ATP:[protein]-L-tyrosine O-phosphotransferase (receptor-type),"Transferases,Transferring phosphorus-containing groups,Protein-tyrosine kinases,Receptor protein-tyrosine kinase",,,,,,,,,"P04629,P04629-3,P04629-4,P04629-2","NTRK1_HUMAN,NTRK1_HUMAN,NTRK1_HUMAN,NTRK1_HUMAN",0.13,19824,,63.37,-1.0,,,,1
5xr1,,,,,"IPR001298,IPR017868,IPR013783,IPR014756","Filamin/ABP280 repeat,Filamin/ABP280 repeat-like,Immunoglobulin-like fold,Immunoglobulin E-set",,,,,,,,,,,,,,,,,,"P05107,P21333","ITB2_HUMAN,FLNA_HUMAN","0.04,0.02,0.04,0.02",36097,,13.99,-1.0,,,,1
2epd,PF00018,SH3_1,SH3,SH3 domain,"IPR001452,IPR036028","SH3 domain,SH3-like domain superfamily",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,,,,,,,,,"P98171,P98171-2","RHG04_HUMAN,RHG04_HUMAN",0.07,,,25.9,-1.0,,,,1
5tr5,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR015496,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquilin,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",2.3.2.31,RBR-type E3 ubiquitin transferase,S-ubiquitinyl-[ubiquitin-conjugating E2 enzyme]-L-cysteine:acceptor protein ubiquitin transferase (isopeptide bond-forming; RBR-type),"Transferases,Acyltransferases,Aminoacyltransferases,RBR-type E3 ubiquitin transferase",,,,,,,,,"O60260,O60260-2,O60260-6,O60260-5,O60260-3,O60260-8,O60260-7","PRKN_HUMAN,PRKN_HUMAN,PRKN_HUMAN,PRKN_HUMAN,PRKN_HUMAN,PRKN_HUMAN,PRKN_HUMAN",0.16,30197,,55.57,-1.0,,,,1
1xgl,,,,,"IPR004825,IPR036438,IPR016179","Insulin,Insulin-like superfamily,Insulin-like",,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,Small proteins,Insulin-like,Insulin-like,Insulin-like,P01308,INS_HUMAN,0.35,,,1.84,-1.0,,,,2
1oef,,,,,,,,,,,,,,,,,,,,Peptides,Fragments of apolipoproteins,Fragments of apolipoproteins,Fragments of apolipoproteins,P02649,APOE_HUMAN,0.08,,,3.4,-1.0,,,,1
2e6s,PF00628,PHD,zf-FYVE-PHD,PHD-finger,"IPR001965,IPR011011,IPR019787","Zinc finger\, PHD-type,Zinc finger\, FYVE/PHD-type,Zinc finger\, PHD-finger",3.30.40.10,Alpha Beta,2-Layer Sandwich,Herpes Virus-1,"Zinc/RING finger domain\, C3HC4 (zinc finger)",2.3.2.27,RING-type E3 ubiquitin transferase,[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine:[acceptor protein]-L-lysine ubiquitin transferase (isopeptide bond-forming; RING-type),"Transferases,Acyltransferases,Aminoacyltransferases,RING-type E3 ubiquitin transferase",,,,,,,,,"Q96PU4,Q96PU4-2","UHRF2_HUMAN,UHRF2_HUMAN",0.09,,,13.22,-1.0,,,,1
1ejp,,,,,"IPR027789,IPR001050","Syndecan/Neurexin domain,Syndecan",,,,,,,,,,GO:0016020,,,membrane,Peptides,Syndecan-4 cytoplasmic domain,Syndecan-4 cytoplasmic domain,Syndecan-4 cytoplasmic domain,"P31431,P31431-2","SDC4_HUMAN,SDC4_HUMAN",0.16,,,0.0,-1.0,,,,1
6bgg,,,,,,,,,,,,3.6.4.12,DNA helicase,ATP phosphohydrolase (DNA helix unwinding),"Hydrolases,Acting on acid anhydrides,Acting on ATP; involved in cellular and subcellular movement,DNA helicase",,,,,,,,,"Q14839,Q14839-2","CHD4_HUMAN,CHD4_HUMAN",0.01,30367,,50.13,-1.0,,,,1
2ru6,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",,,,,,,,,,,,,,,,,,P0CG48,UBC_HUMAN,0.11,11547,,16.47,-1.0,,,,1
2m65,PF05240,APOBEC_C,CDA,APOBEC-like C-terminal domain,IPR016193,Cytidine deaminase-like,,,,,,3.5.4.38,Single-stranded DNA cytosine deaminase,Single-stranded DNA cytosine aminohydrolase,"Hydrolases,Acting on carbon-nitrogen bonds\, other than peptide bonds,In cyclic amidines,Single-stranded DNA cytosine deaminase","GO:0009972,GO:0044355,GO:0070383,GO:0080111,GO:0071466,GO:0045869,GO:0002376,GO:0010529,GO:0045087,GO:0045071,GO:0016554,GO:0051607,GO:0004126,GO:0005515,GO:0003723,GO:0016787,GO:0003824,GO:0046872,GO:0047844,GO:0008270,GO:0005634,GO:0005654,GO:0000932,GO:0005737","cytidine deamination,clearance of foreign intracellular DNA,DNA cytosine deamination,DNA demethylation,cellular response to xenobiotic stimulus,negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,immune system process,negative regulation of transposition,innate immune response,negative regulation of viral genome replication,cytidine to uridine editing,defense response to virus","cytidine deaminase activity,protein binding,RNA binding,hydrolase activity,catalytic activity,metal ion binding,deoxycytidine deaminase activity,zinc ion binding","nucleus,nucleoplasm,P-body,cytoplasm",,,,,"P31941,P31941-2","ABC3A_HUMAN,ABC3A_HUMAN",1.0,19108,,3.35,-1.0,,,,1
1yur,PF01023,S_100,EF_hand,S-100/ICaBP type calcium binding domain,"IPR011992,IPR013787,IPR028487","EF-hand domain pair,S100/CaBP-9k-type\, calcium binding\, subdomain,Protein S100-A13",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,"GO:0050663,GO:0046688,GO:0008284,GO:0015031,GO:0050703,GO:0043123,GO:0043303,GO:0051602,GO:0008360,GO:0005509,GO:0005515,GO:0042803,GO:0017134,GO:0046872,GO:0008289,GO:0008270,GO:0005507,GO:0050786,GO:0005634,GO:0005654,GO:0005730,GO:0042629,GO:0048471,GO:0005615,GO:0005737,GO:0005576,GO:0005886,GO:0005829","cytokine secretion,response to copper ion,positive regulation of cell population proliferation,protein transport,interleukin-1 alpha secretion,positive regulation of I-kappaB kinase/NF-kappaB signaling,mast cell degranulation,response to electrical stimulus,regulation of cell shape","calcium ion binding,protein binding,protein homodimerization activity,fibroblast growth factor binding,metal ion binding,lipid binding,zinc ion binding,copper ion binding,RAGE receptor binding","nucleus,nucleoplasm,nucleolus,mast cell granule,perinuclear region of cytoplasm,extracellular space,cytoplasm,extracellular region,plasma membrane,cytosol",All alpha proteins,EF Hand-like,EF-hand,S100 proteins,Q99584,S10AD_HUMAN,1.0,,,5.49,-1.0,,,,1
1ss6,PF08059,SEP,,SEP domain,"IPR012989,IPR036241","SEP domain,NSFL1 cofactor p47\, SEP domain superfamily","3.30.420.210,3.30.420.210","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Nucleotidyltransferase; domain 5,Nucleotidyltransferase; domain 5","Nucleotidyltransferase; domain 5,SEP domain",,,,,,,,,Alpha and beta proteins (a+b),"NSFL1 (p97 ATPase) cofactor p47\, SEP domain","NSFL1 (p97 ATPase) cofactor p47\, SEP domain","NSFL1 (p97 ATPase) cofactor p47\, SEP domain","Q9UNZ2,Q9UNZ2-6,Q9UNZ2-4,Q9UNZ2-5","NSF1C_HUMAN,NSF1C_HUMAN,NSF1C_HUMAN,NSF1C_HUMAN",0.27,,,10.86,-1.0,,,,1
1g5w,PF00061,Lipocalin,Calycin,Lipocalin / cytosolic fatty-acid binding protein family,"IPR000566,IPR031259,IPR012674,IPR000463","Lipocalin/cytosolic fatty-acid binding domain,Intracellular lipid binding protein,Calycin,Cytosolic fatty-acid binding","2.40.128.20,2.40.128.20","Mainly Beta,Mainly Beta","Beta Barrel,Beta Barrel","Lipocalin,Lipocalin","Calycin beta-barrel core domain,Lipocalin",,,,,"GO:0050873,GO:0055091,GO:0071073,GO:0140214,GO:0042632,GO:2001245,GO:0019433,GO:0042493,GO:0032365,GO:0032868,GO:0046320,GO:0070542,GO:0008285,GO:0015909,GO:0006631,GO:0005515,GO:0036041,GO:0005324,GO:0050543,GO:0008289,GO:0008092,GO:0070538,GO:0005504,GO:0070062,GO:0005615,GO:0005737,GO:0016528,GO:0005829","brown fat cell differentiation,phospholipid homeostasis,positive regulation of phospholipid biosynthetic process,positive regulation of long-chain fatty acid import into cell,cholesterol homeostasis,regulation of phosphatidylcholine biosynthetic process,triglyceride catabolic process,response to drug,intracellular lipid transport,response to insulin,regulation of fatty acid oxidation,response to fatty acid,negative regulation of cell population proliferation,long-chain fatty acid transport,fatty acid metabolic process","protein binding,long-chain fatty acid binding,long-chain fatty acid transporter activity,icosatetraenoic acid binding,lipid binding,cytoskeletal protein binding,oleic acid binding,fatty acid binding","extracellular exosome,extracellular space,cytoplasm,sarcoplasm,cytosol",All beta proteins,Lipocalins,Lipocalins,Fatty acid binding protein-like,P05413,FABPH_HUMAN,0.99,,,39.98,-1.0,,,,1
2m2d,PF07686,V-set,Ig,Immunoglobulin V-set domain,"IPR013106,IPR003599,IPR042379,IPR013783,IPR036179","Immunoglobulin V-set domain,Immunoglobulin subtype,Programmed cell death protein 1,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,"GO:0050777,GO:0016021",negative regulation of immune response,,integral component of membrane,,,,,Q15116,PDCD1_HUMAN,0.44,18908,,64.83,-1.0,,,,1
2d92,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR001478","PDZ superfamily,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,,,,,,,,,"Q8NI35,Q8NI35-3,Q8NI35-4,Q8NI35-2,Q8NI35-5","INADL_HUMAN,INADL_HUMAN,INADL_HUMAN,INADL_HUMAN,INADL_HUMAN",0.05,,,25.04,-1.0,,,,1
1p98,,,,,"IPR029071,IPR000626","Ubiquitin-like domain superfamily,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,Alpha and beta proteins (a+b),beta-Grasp (ubiquitin-like),Ubiquitin-like,Ubiquitin-related,"P54725,P54725-2,P54725-3","RD23A_HUMAN,RD23A_HUMAN,RD23A_HUMAN",0.21,,,3.06,-1.0,,,,1
1ei0,,,,,"IPR027179,IPR009069","Mature-T-Cell Proliferation I type,Cysteine alpha-hairpin motif superfamily",,,,,,,,,,,,,,Peptides,alpha-helical hairpin of p8mtcp1,alpha-helical hairpin of p8mtcp1,alpha-helical hairpin of p8mtcp1,P56277,CMC4_HUMAN,0.56,,,15.16,-1.0,,,,1
6bgg,PF17035,BET,BET,Bromodomain extra-terminal - transcription regulation,"IPR038336,IPR027353","NET domain superfamily,NET domain",1.20.1270.220,Mainly Alpha,Up-down Bundle,Substrate Binding Domain Of Dnak; Chain:A; Domain 2,Substrate Binding Domain Of Dnak; Chain:A; Domain 2,,,,,,,,,,,,,Q15059,BRD3_HUMAN,0.12,30367,,50.13,-1.0,,,,2
2nr1,,,,,,,,,,,,,,,,,,,,Peptides,Transmembrane helical fragments,Transmembrane helical fragments,Transmembrane helical fragments,"Q05586,Q05586-2,Q05586-3,Q05586-7,Q05586-6,Q05586-4,Q05586-5","NMDZ1_HUMAN,NMDZ1_HUMAN,NMDZ1_HUMAN,NMDZ1_HUMAN,NMDZ1_HUMAN,NMDZ1_HUMAN,NMDZ1_HUMAN",0.03,,,1.77,-1.0,,,,1
2h7t,PF00086,Thyroglobulin_1,,Thyroglobulin type-1 repeat,"IPR022321,IPR009168,IPR000716,IPR012210,IPR036857","Insulin-like growth factor-binding protein family 1-6\, chordata,Insulin-like growth factor binding protein,Thyroglobulin type-1,Insulin-like growth factor binding protein 2,Thyroglobulin type-1 superfamily",4.10.800.10,Few Secondary Structures,Irregular,Invariant Chain; Chain I,Thyroglobulin type-1,,,,,"GO:0005520,GO:0005576",,insulin-like growth factor binding,extracellular region,,,,,P18065,IBP2_HUMAN,0.37,,,9.69,-1.0,,,,1
4bxu,,,,,,,,,,,,,,,,,,,,,,,,"P50542,P50542-3,P50542-2,P50542-4","PEX5_HUMAN,PEX5_HUMAN,PEX5_HUMAN,PEX5_HUMAN",0.02,19368,,33.47,-1.0,,,,2
5wbt,PF00049,Insulin,Insulin,Insulin/IGF/Relaxin family,"IPR022352,IPR004825,IPR036438,IPR016179","Insulin family,Insulin,Insulin-like superfamily,Insulin-like",1.10.100.10,Mainly Alpha,Orthogonal Bundle,"Insulin-like\, subunit E",Insulin-like,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,,,,,P01308,INS_HUMAN,0.59,30314,,1.38,-1.0,,,,1
2n2v,,,,,"IPR004825,IPR036438,IPR016179","Insulin,Insulin-like superfamily,Insulin-like",,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,,,,,P01308,INS_HUMAN,0.35,25613,,20.81,-1.0,,,,2
2ys1,PF00169,PH,PH,PH domain,"IPR001849,IPR022812,IPR011993,IPR027188","Pleckstrin homology domain,Dynamin superfamily,PH-like domain superfamily,Dynamin-2",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),3.6.5.5,Dynamin GTPase,GTP phosphohydrolase (vesicle-releasing),"Hydrolases,Acting on acid anhydrides,Acting on GTP; involved in cellular and subcellular movement,Dynamin GTPase","GO:0006897,GO:0003924,GO:0005874",endocytosis,GTPase activity,microtubule,,,,,"P50570,P50570-3,P50570-5,P50570-4,P50570-2","DYN2_HUMAN,DYN2_HUMAN,DYN2_HUMAN,DYN2_HUMAN,DYN2_HUMAN",0.12,,,21.1,-1.0,,,,1
1dom,PF00048,IL8,,"Small cytokines (intecrine/chemokine)\, interleukin-8 like","IPR039809,IPR001811,IPR036048","Chemokine beta/gamma/delta,Chemokine interleukin-8-like domain,Chemokine interleukin-8-like superfamily",2.40.50.40,Mainly Beta,Beta Barrel,"OB fold (Dihydrolipoamide Acetyltransferase\, E2P)","OB fold (Dihydrolipoamide Acetyltransferase\, E2P)",,,,,"GO:0019079,GO:0044344,GO:0090280,GO:0006959,GO:0043491,GO:0050870,GO:0030593,GO:0007165,GO:0002548,GO:0007166,GO:0034351,GO:0048247,GO:0048246,GO:0007155,GO:0006935,GO:0009887,GO:0071222,GO:2000502,GO:0043524,GO:0070374,GO:0006954,GO:0007187,GO:0007259,GO:1904783,GO:0051770,GO:0051968,GO:0019221,GO:0070098,GO:0007010,GO:1905563,GO:0007186,GO:0071346,GO:0043615,GO:0043547,GO:0019233,GO:0036499,GO:0035684,GO:0071356,GO:0031663,GO:0071407,GO:0000165,GO:0009617,GO:2000353,GO:0019725,GO:2000427,GO:0001525,GO:0006468,GO:0048245,GO:0008360,GO:2000134,GO:0071347,GO:0006955,GO:0005515,GO:0005125,GO:0048020,GO:0031727,GO:0008009,GO:0004672,GO:0005102,GO:0005615,GO:0005623,GO:0005576","viral genome replication,cellular response to fibroblast growth factor stimulus,positive regulation of calcium ion import,humoral immune response,protein kinase B signaling,positive regulation of T cell activation,neutrophil chemotaxis,signal transduction,monocyte chemotaxis,cell surface receptor signaling pathway,negative regulation of glial cell apoptotic process,lymphocyte chemotaxis,macrophage chemotaxis,cell adhesion,chemotaxis,animal organ morphogenesis,cellular response to lipopolysaccharide,negative regulation of natural killer cell chemotaxis,negative regulation of neuron apoptotic process,positive regulation of ERK1 and ERK2 cascade,inflammatory response,G protein-coupled receptor signaling pathway\, coupled to cyclic nucleotide second messenger,receptor signaling pathway via JAK-STAT,positive regulation of NMDA glutamate receptor activity,positive regulation of nitric-oxide synthase biosynthetic process,positive regulation of synaptic transmission\, glutamatergic,cytokine-mediated signaling pathway,chemokine-mediated signaling pathway,cytoskeleton organization,negative regulation of vascular endothelial cell proliferation,G protein-coupled receptor signaling pathway,cellular response to interferon-gamma,astrocyte cell migration,positive regulation of GTPase activity,sensory perception of pain,PERK-mediated unfolded protein response,helper T cell extravasation,cellular response to tumor necrosis factor,lipopolysaccharide-mediated signaling pathway,cellular response to organic cyclic compound,MAPK cascade,response to bacterium,positive regulation of endothelial cell apoptotic process,cellular homeostasis,positive regulation of apoptotic cell clearance,angiogenesis,protein phosphorylation,eosinophil chemotaxis,regulation of cell shape,negative regulation of G1/S transition of mitotic cell cycle,cellular response to interleukin-1,immune response","protein binding,cytokine activity,CCR chemokine receptor binding,CCR2 chemokine receptor binding,chemokine activity,protein kinase activity,signaling receptor binding","extracellular space,cell,extracellular region",Alpha and beta proteins (a+b),IL8-like,Interleukin 8-like chemokines,Interleukin 8-like chemokines,P13500,CCL2_HUMAN,1.0,,,2.95,-1.0,,,,1
